6636bdf7f5b042cb81d7935d56901ffa	AmendmentFlag is true in context %(contextID)s so AmendmentDescription is also required	EFM.6.05.20
32bf176761a34b64bba2bb53160ff2fd	DocumentType '%(documentType)s' of context %(contextID)s inapplicable to submission form %(submissionType)s	EFM.6.05.20
8c4a49b67b354c7eb2d8629b20288bdf	DocumentType '%(documentType)s' of context %(contextID)s was not recognized	EFM.6.05.20
602f0be3612e4c6cb5f93fd0a6701d72	DocumentType is required and was not found in the default context	EFM.6.05.20
865face2f5bd47e1a51aad138c4f3dd6	dei:%(elementName)s is required for DocumentType '%(documentType)s' of context %(contextID)s	EFM.6.05.21
c9dc9f19e8bd4115a9651d2486752ec5	dei:%(elementName)s %(value)s is must match the context entity identifier %(entityIdentifer)s	EFM.6.05.23	GFM.3.02.02
c5dfee5023214c0b8e3b19a05e83239b	dei:%(elementName)s %(value)s must match submission: %(filerIdentifer)s	EFM.6.05.23	GFM.3.02.02
cc50dd1cf845427599493eccadeca155	dei:%(elementName)s %(prefix)s should be a case-insensitive prefix of: %(value)s	EFM.6.05.24	GFM.3.02.02
4ff71d4219784f9885794f1c642f2e39	parameters for cikList and cikNameList different list entry counts: %(cikList)s, %(cikNameList)s	EFM.6.05.24	GFM.3.02.02
0a03d8a0d4ac42f49af76245d38221e7	Domain item %(fact)s in context %(contextID)s may not appear as a fact	EFM.6.05.25
b00a314e1e24441a8bb8552d1a5e03df	dei:EntityCommonStockSharesOutstanding is required for DocumentType '%(documentType)s' but missing a default-context because only one class of stock	EFM.6.05.26
7d44b4bd6eca4b76bd7141188d54a54a	dei:EntityCommonStockSharesOutstanding is required for DocumentType '%(documentType)s' but missing for a non-default-context fact	EFM.6.05.26
886c704c21ec4c63bdcfaa63cf05a5fe	dei:EntityCommonStockSharesOutstanding is required for DocumentType '%(documentType)s' but missing in these stock classes: %(stockClasses)s	EFM.6.05.26
8588aa3afd774333afdec10734e4514a	dei:EntityCommonStockSharesOutstanding is required for DocumentType '%(documentType)s' but not in the default context because there are multiple classes of common shares	EFM.6.05.26
d2e6eb3b175e421383150278c3e4f4ff	dei:EntityCommonStockSharesOutstanding is required for DocumentType '%(documentType)s' but only one per stock class %(stockClass)s	EFM.6.05.26
b343db4ffb8d43fbb61c2f927a63c7fb	dei:EntityCommonStockSharesOutstanding is required for DocumentType '%(documentType)s' in stock class %(stockClass)s with measurement date %(date)s	EFM.6.05.26
15b766c7d38546f084be16cbd5e2b3c9	dei:EntityCommonStockSharesOutstanding is required for DocumentType '%(documentType)s' in the default context because there are not multiple classes of common shares	EFM.6.05.26
b5231aaaeab9437cb79fb9144241b5c2	FootnoteLink %(footnoteLinkNumber)s has disallowed child element %(elementName)s	EFM.6.05.27	GFM.1.02.19
0c949a7b23cf40d8835e9dbc83588832	FootnoteLink %(footnoteLinkNumber)s has disallowed role %(linkrole)s	EFM.6.05.28	GFM.1.02.20
13cc954833d54735b6b01f40dc5ea3f0	Footnote %(xlinkLabel)s has disallowed role %(role)s	EFM.6.05.28	GFM.1.02.20
a35fbbd215964da18f0b0fa5fd636825	Footnote %(xlinkLabel)s is missing a role	EFM.6.05.28	GFM.1.02.20
bd44aad8badc4e4383ade87682b5fd50	FootnoteLink %(footnoteLinkNumber)s loc %(locNumber)s has disallowed role %(role)s	EFM.6.05.29	GFM.1.02.21
6b64e3529b074af6b619985020f32e2d	FootnoteLink %(footnoteLinkNumber)s arc %(arcNumber)s has disallowed arcrole %(arcrole)s	EFM.6.05.30	GFM.1.02.22
7b5449c0845e4cd48d5f30655600903b	FootnoteLink %(footnoteLinkNumber)s loc %(locNumber)s has disallowed href %(locHref)s	EFM.6.05.32	GFM.1.02.23
df4a2ddb81544b8e81fb264721db3729	FootnoteLink %(footnoteLinkNumber)s footnote %(xlinkLabel)s has no linked fact	EFM.6.05.33	GFM.1.02.24
682701ec52ec432e9d3e70c02f128ca2	Footnote %(xlinkLabel)s has an invalid external reference in '%(attribute)s' for <%(element)s>: %(value)s	EFM.6.05.34
12052d2d47a440cea5149087888f33d1	Footnote %(xlinkLabel)s has attribute '%(attribute)s' not allowed for <%(element)s>	EFM.6.05.34
1715e8dbf56a4b68bf07f8d1eb687c93	Footnote %(xlinkLabel)s has disallowed html tag: <%(element)s>	EFM.6.05.34
830497d3cfd0453c81fd8d5b1138b7ad	Footnote %(xlinkLabel)s has javascript in '%(attribute)s' for <%(element)s>	EFM.6.05.34
ad35a26eba4b4ea791e9692b09638ae5	Unit has a measure  with localName length (%(length)s) over 200 bytes long in utf-8, %(measure)s.	EFM.6.05.36
28ff84c2bf5b4014bd464beb227f02bb	Taxonomy schema %(schema)s includes %(include)s, only import is allowed	EFM.6.07.01	GFM.1.03.01	SBR.NL.2.2.0.18
b02edf4099d44f69be6e9e837e1e8d0c	Taxonomy schema %(schema)s namespace %(targetNamespace)s is a disallowed authority	EFM.6.07.03	GFM.1.03.03
38fc3b96348e43b9a30f75e4607a68c3	Taxonomy schema %(schema)s namespace %(targetNamespace)s must have format http://{authority}/{versionDate}	EFM.6.07.04	GFM.1.03.04
f488d29d7dbb426b8a7d035b8d62f082	Taxonomy schema %(schema)s namespace %(targetNamespace)s prefix %(prefix)s must not have an '_'	EFM.6.07.07	GFM.1.03.07
6de7f77e8e3144f7a16c2089a2e9ac2e	Taxonomy schema %(schema)s contains an embedded linkbase	EFM.6.07.08	GFM.1.03.08
b3dddf0990964feb99d4f4a6e30efd63	RoleType %(roleType)s does not match authority %(targetNamespaceAuthority)s	EFM.6.07.09	GFM.1.03.09
a2bcafe90e984d648086beb374351f1f	RoleType %(roleType)s is defined in multiple taxonomies	EFM.6.07.10	GFM.1.03.10
